name;open;high;low;close;volume;marketCap;timestamp
"2783";3.353666843;3.4495394098;3.090130092;3.1548149477;8823202923.942574;7271970257.004431;"2018-01-01T00:00:00.000Z"
"2783";3.1589055253;3.4674842054;2.9297460722;3.2422392812;7691253984.96319;7055618689.888474;"2018-02-01T00:00:00.000Z"
"2783";3.245303376;3.3139498212;3.2371971615;3.3071444521;5724682168.263096;7429317825.799908;"2018-03-01T00:00:00.000Z"
"2783";3.2903969226;3.5035086443;3.2410789091;3.5035086443;14865545458.479437;7979048846.45576;"2018-04-01T00:00:00.000Z"
"2783";3.5081767615;3.7150661898;3.5081767615;3.7150661898;9165767045.312696;8775734765.222158;"2018-05-01T00:00:00.000Z"
"2783";3.7191050403;3.8733677858;3.677923639;3.8733677858;9457458069.130758;10069187454.027628;"2018-06-01T00:00:00.000Z"
"2783";3.8661225187;3.926296239;3.7523491794;3.7523491794;12610642149.987225;9539781617.672232;"2018-07-01T00:00:00.000Z"
"2783";3.751252953;4.068731295;3.751252953;4.068731295;9983281266.016428;10330677094.80944;"2018-08-01T00:00:00.000Z"
"2783";4.06139265;4.281519985;3.983577643;4.049257208;13409528939.982151;11382733236.370874;"2018-09-01T00:00:00.000Z"
"2783";4.0349199004;4.0349199004;3.49988673;3.6776912718;8712768066.016449;7105189955.849765;"2018-10-01T00:00:00.000Z"
"2783";3.6749519534;3.8345349138;3.4947301405;3.8345349138;15131988224.42168;6852914943.230625;"2018-11-01T00:00:00.000Z"
"2783";3.8466687184;4.0704577856;3.8466687184;3.9347798223;13328605878.789782;7284596281.106283;"2018-12-01T00:00:00.000Z"
"2783";3.9408457198;3.9408457198;3.6679582872;3.6679582872;15955741192.649612;7894893364.408379;"2019-01-01T00:00:00.000Z"
"2783";3.6616787256;3.9326105035;3.6616787256;3.7888635311;28832022440.343582;7440762891.13851;"2019-02-01T00:00:00.000Z"
"2783";3.7878077111;4.1316227746;3.7878077111;3.9267394079;30416706658.74459;7614683127.662572;"2019-03-01T00:00:00.000Z"
"2783";3.9267960911;4.017843515;3.8525976669;3.9424166311;49849714165.28752;11190853650.553295;"2019-04-01T00:00:00.000Z"
"2783";3.9426003379;4.1543940229;3.9380283024;3.9380283024;100613856366.23045;12309369020.703169;"2019-05-01T00:00:00.000Z"
"2783";3.9363132881;3.9363132881;3.7510246462;3.8220882468;107325649518.60446;14023171025.091621;"2019-06-01T00:00:00.000Z"
"2783";3.8184349833;3.8577648655;3.7525492733;3.8276005214;66575151286.55179;15564132527.687641;"2019-07-01T00:00:00.000Z"
"2783";3.8267684355;4.160919989;3.8267684355;4.160919989;51840710793.786224;15340082569.610075;"2019-08-01T00:00:00.000Z"
"2783";4.1616440919;4.4087630234;4.0371280606;4.1729907214;87470395500.78633;17099453713.426052;"2019-09-01T00:00:00.000Z"
"2783";4.1691355082;4.2239829807;3.881775893;4.0429847972;127718620629.89418;17184759341.598198;"2019-10-01T00:00:00.000Z"
"2783";4.0437655462;4.3630187667;4.0437655462;4.247066917;76915835567.2152;16532180718.028122;"2019-11-01T00:00:00.000Z"
"2783";4.2475491727;4.3282561025;4.0186768301;4.0186768301;102664115849.29768;17411873113.52221;"2019-12-01T00:00:00.000Z"
"2783";4.0182432692;4.2852743828;3.9568131452;4.2852743828;162796103004.7488;18674263227.815857;"2020-01-01T00:00:00.000Z"
"2783";4.2835782817;4.5015398569;4.2835782817;4.5015398569;192493018108.6695;20007546706.735027;"2020-02-01T00:00:00.000Z"
"2783";4.5014151313;5.2210569017;4.3093665133;5.2210569017;174318027868.65015;27664763220.199947;"2020-03-01T00:00:00.000Z"
"2783";5.2237304447;5.5155535016;5.1142382054;5.5155535016;468121216855.55133;33278436764.33128;"2020-04-01T00:00:00.000Z"
"2783";5.5049158539;6.0790185668;5.325805095;5.325805095;192112570527.4786;48184454578.527336;"2020-05-01T00:00:00.000Z"
"2783";5.3341693907;5.4624767226;5.2902862173;5.4624767226;100994915831.97693;49025183547.08657;"2020-06-01T00:00:00.000Z"
"2783";5.4612634384;5.469015614;5.2233883906;5.2233883906;170542362617.7657;54629997546.08458;"2020-07-01T00:00:00.000Z"
"2783";5.2609273763;6.6169627413;0.049766749686;5.0917898211;4830303173293.932;64513093821.042175;"2020-08-01T00:00:00.000Z"
"2783";5.093789784;5.6175534267;5.0028999231;5.6175534267;8868371364856.969;85255951339.97783;"2020-09-01T00:00:00.000Z"
"2783";5.6193478833;5.744050992;5.6193478833;5.744050992;7296163013914.99;93464368228.40666;"2020-10-01T00:00:00.000Z"
"2783";5.744050992;5.744050992;5.3296051938;5.3344101015;10500432365547.824;109888078855.59291;"2020-11-01T00:00:00.000Z"
"2783";5.3345700224;5.3345700224;5.1065972856;5.1967033318;10314518195369.598;111661661501.9895;"2020-12-01T00:00:00.000Z"
"2783";5.1967886627;5.4958589229;5.1967886627;5.4668587999;36060494355415.65;137381049833.99042;"2021-01-01T00:00:00.000Z"
"2783";5.4670242575;5.613296911;5.349261434;5.613296911;20289127204394.523;191466542158.70132;"2021-02-01T00:00:00.000Z"
"2783";5.6131371577;5.632912487;5.5133357257;5.632912487;15507777742353.125;228113264651.3906;"2021-03-01T00:00:00.000Z"
"2783";5.6327067208;5.7578811245;5.4383828785;5.4383828785;22521275804475.426;287247411779.51544;"2021-04-01T00:00:00.000Z"
"2783";5.4376350529;5.4376350529;5.2208802559;5.2208802559;26145562115013.984;336177560959.12006;"2021-05-01T00:00:00.000Z"
"2783";5.2205919558;5.2205919558;4.9213407229;4.9717722794;10894393217386.951;325968907605.6382;"2021-06-01T00:00:00.000Z"
"2783";4.9714998161;5.2402452124;4.9714998161;5.2102835514;8114982377187.868;307215950000.4921;"2021-07-01T00:00:00.000Z"
"2783";5.2112075523;5.4178594515;5.153325646;5.153325646;12450185961330.666;341312221227.82086;"2021-08-01T00:00:00.000Z"
"2783";5.1540519356;5.4440428512;5.1540519356;5.4440428512;12972367174641.984;352717232594.013;"2021-09-01T00:00:00.000Z"
"2783";5.4437260193;5.6452009175;5.4437260193;5.6396822256;13114340104347.434;382576768791.9089;"2021-10-01T00:00:00.000Z"
"2783";5.6397158675;5.6397158675;5.4930827216;5.6257970065;14138318530499.664;413384620751.9911;"2021-11-01T00:00:00.000Z"
"2783";5.6267136619;5.6922558288;5.5723537411;5.5723537411;11917992823219.541;440664841661.18665;"2021-12-01T00:00:00.000Z"
"2783";5.5718202426;5.7016155351;5.3071737152;5.3071737152;10088628873017.996;435443508901.88885;"2022-01-01T00:00:00.000Z"
"2783";5.3072802393;5.3072802393;5.1615526065;5.1622105788;8422802636482.093;422267253544.82666;"2022-02-01T00:00:00.000Z"
"2783";5.1622548724;5.1622548724;4.7407403023;4.7407403023;9965598779161.648;422939382454.8869;"2022-03-01T00:00:00.000Z"
"2783";4.7407524248;4.9735194215;4.6683594389;4.9735194215;8863394211300.113;394147406516.19836;"2022-04-01T00:00:00.000Z"
"2783";4.973506301;4.9746119172;4.7290034319;4.7290034319;10763963861943.236;360494767895.59235;"2022-05-01T00:00:00.000Z"
"2783";4.7293701659;5.2470967792;4.7293701659;5.2470967792;7424636416112.029;313925062982.7667;"2022-06-01T00:00:00.000Z"
"2783";5.2473127632;5.2473127632;5.1743965982;5.1743965982;8212865306335.449;347871897678.78033;"2022-07-01T00:00:00.000Z"
"2783";5.1743680831;5.1833855057;5.079313666;5.1833855057;7876864554002.144;349420428943.87683;"2022-08-01T00:00:00.000Z"
"2783";5.1833740791;5.4127362389;5.1499622173;5.4127362389;8141904988342.536;352254667904.3929;"2022-09-01T00:00:00.000Z"
"2783";5.4128045939;5.4128045939;5.1801265052;5.1801265052;7166634609735.893;375713542741.6361;"2022-10-01T00:00:00.000Z"
"2783";5.1799698301;5.1855800816;5.0908743463;5.1855800816;8782143409954.104;338596923770.86597;"2022-11-01T00:00:00.000Z"
"2783";5.1858488384;5.3261479102;5.1858488384;5.2849759213;3730804651721.01;343511677455.785;"2022-12-01T00:00:00.000Z"
"2783";5.2850062771;5.2850062771;5.0742924174;5.0742924174;4892005012319.097;358540045615.4725;"2023-01-01T00:00:00.000Z"
"2783";5.0739994769;5.2379064408;5.0739994769;5.2379064408;5302973569370.52;359905234508.12946;"2023-02-01T00:00:00.000Z"
"2783";5.2381849867;5.3716745106;5.0639277981;5.0639277981;6699323353420.649;417319813869.0406;"2023-03-01T00:00:00.000Z"
"2783";5.0636971098;5.0636971098;4.9896867704;4.9896867704;4417038837178.217;413894104107.5514;"2023-04-01T00:00:00.000Z"
"2783";4.9902688317;5.0579866147;4.957620076;5.0579866147;3438574629751.0376;415020203868.5158;"2023-05-01T00:00:00.000Z"
"2783";5.0568823872;5.0568823872;4.7831425493;4.7901892421;3710815811134.564;421575294696.2894;"2023-06-01T00:00:00.000Z"
"2783";4.7889307664;4.8003124499;4.7256777202;4.7256777202;3162627733490.988;401441572893.21216;"2023-07-01T00:00:00.000Z"
"2783";4.7257973242;4.954635604;4.7257973242;4.954635604;3209169236159.32;391576332966.55927;"2023-08-01T00:00:00.000Z"
"2783";4.9544725569;5.0390928303;4.871563615;5.0335561036;3105189634960.7173;412594122780.19543;"2023-09-01T00:00:00.000Z"
"2783";5.0334701761;5.1733059222;5.0334701761;5.0376863907;4274728496448.4585;426201455481.7725;"2023-10-01T00:00:00.000Z"
"2783";5.0377559849;5.0377559849;4.900331931;4.9251702823;5781952089979.723;449657387954.9694;"2023-11-01T00:00:00.000Z"
"2783";4.925563889;4.9355140769;4.8511560091;4.8511560091;7394055714725.195;451462051753.9076;"2023-12-01T00:00:00.000Z"
